12345678131,Valentinas,Mazuronis,1953-11-18,TRUE,Trumpa Valentino Mazuronio biografija.,1
12345678132,Vytautas,Kamblevičius,1950-11-03,TRUE,Trumpa Vytauto Kamblevičiaus biografija.,2
12345678133,Kęstas,Komskis,1963-11-22,TRUE,Trumpa Kęsto Komskio biografija.,3
12345678134,Rimas Antanas,Ručys,1954-05-26,TRUE,Trumpa Rimo Antano Ručio biografija.,4
12345678135,Remigijus,Ačas,1962-12-27,TRUE,Trumpa Remigijaus Ačo biografija.,5
12345678136,Ona,Valiukevičiūtė,1945-08-01,TRUE,Trumpa Onos Valiukevičiūtės biografija.,6
12345678137,Dailis Alfonsas,Barakauskas,1952-06-29,TRUE,Trumpa Dailio Alfonso Barakausko biografija.,7
12345678138,Julius,Veselka,1943-02-08,TRUE,Trumpa Juliaus Veselkos biografija.,8
12345678139,Romualdas,Ginevičius,1946-09-09,TRUE,Trumpa Romualdo Ginevičiaus biografija.,9
12345678140,Remigijus,Žemaitaitis,1982-05-30,TRUE,Trumpa Remigijaus Žemaitaičio biografija.,10
12345678141,Petras,Gražulis,1958-10-28,TRUE,Trumpa Petro Gražulio biografija.,11
12345678142,Romas,Jankauskas,1962-04-07,TRUE,Trumpa Romo Jankausko biografija.,12
12345678143,Artūras,Razbadauskas,1964-05-18,TRUE,Trumpa Artūro Razbadausko biografija.,13
12345678144,Egidijus,Vilimas,1960-05-27,TRUE,Trumpa Egidijaus Vilimo biografija.,14
12345678145,Almantas,Petkus,1976-06-05,TRUE,Trumpa Almanto Petkaus biografija.,15
12345678146,Vytautas,Galvonas,1958-04-08,TRUE,Trumpa Vytauto Galvono biografija.,16
12345678147,Gintautas,Labanauskas,1963-06-19,TRUE,Trumpa Gintauto Labanausko biografija.,17
12345678148,Algimantas,Dumbrava,1958-06-28,TRUE,Trumpa Algimanto Dumbravo biografija.,18
12345678149,Egidijus,Klumbys,1952-09-02,TRUE,Trumpa Egidijaus Klumbio biografija.,19
12345678150,Rolandas,Jonikaitis,1962-07-03,TRUE,Trumpa Rolando Jonikaičio biografija.,20
12345678151,Loreta,Kekienė,1963-02-01,TRUE,Trumpa Loretos Kekienės biografija.,21
12345678152,Daiva,Matonienė,1973-03-13,TRUE,Trumpa Daivos Matonienės biografija.,22
12345678153,Aušra,Ručienė,1962-05-07,TRUE,Trumpa Aušros Ručienės biografija.,23
12345678154,Irena,Skernevičiūtė,1943-08-13,TRUE,Trumpa Irenos Skernevičiūtės biografija.,24
12345678155,Aldona,Staponkienė,1949-09-03,TRUE,Trumpa Aldonos Staponkienės biografija.,25
12345678156,Kristina ,Krupavičienė,1962-05-23,TRUE,Trumpa Kristinos Krupavičienės biografija.,26
12345678157,Vincas,Plikaitis,1957-07-18,TRUE,Trumpa Vinco Plikaičio biografija.,27
12345678158,Gediminas,Rudžionis,1948-09-09,TRUE,Trumpa Gedimino Rudžionio biografija.,28
12345678159,Sigitas,Činga,1979-01-06,TRUE,Trumpa Sigito Čingos biografija.,29
12345678160,Osvaldas,Katinas,1975-04-18,TRUE,Trumpa Osvaldo Katino biografija.,30
